01-07-2025 18:56:20.587 [main] [-] INFO  discovery-server-c.p.l.d.DiscoveryEurekaServerApplication.logStarting - Starting DiscoveryEurekaServerApplication using Java 21.0.7 with PID 3256 (C:\Users\shazam\IdeaProjects\microservices\discovery-server\target\classes started by shazam in C:\Users\shazam\IdeaProjects\microservices\discovery-server)
01-07-2025 18:56:20.591 [main] [-] INFO  discovery-server-c.p.l.d.DiscoveryEurekaServerApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
01-07-2025 18:56:20.646 [main] [-] INFO  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Fetching config from server at : http://config-server:
01-07-2025 18:56:20.674 [main] [-] INFO  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Exception on Url - http://config-server::org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://config-server/discovery-server/default": config-server. Will be trying the next url if available
01-07-2025 18:56:20.675 [main] [-] WARN  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Could not locate PropertySource ([ConfigServerConfigDataResource@6ea1bcdc uris = array<String>['http://config-server:'], optional = true, profiles = 'default']): I/O error on GET request for "http://config-server/discovery-server/default": config-server
01-07-2025 18:56:20.675 [main] [-] INFO  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Fetching config from server at : http://config-server:
01-07-2025 18:56:20.676 [main] [-] INFO  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Exception on Url - http://config-server::org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://config-server/discovery-server/default": config-server. Will be trying the next url if available
01-07-2025 18:56:20.676 [main] [-] WARN  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Could not locate PropertySource ([ConfigServerConfigDataResource@48c40605 uris = array<String>['http://config-server:'], optional = true, profiles = 'default']): I/O error on GET request for "http://config-server/discovery-server/default": config-server
01-07-2025 18:56:20.676 [main] [-] INFO  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Fetching config from server at : http://config-server:
01-07-2025 18:56:20.676 [main] [-] INFO  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Exception on Url - http://config-server::org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://config-server/discovery-server/default": config-server. Will be trying the next url if available
01-07-2025 18:56:20.676 [main] [-] WARN  discovery-server-o.s.c.c.c.ConfigServerConfigDataLoader.logTo - Could not locate PropertySource ([ConfigServerConfigDataResource@54107f42 uris = array<String>['http://config-server:'], optional = true, profiles = 'default']): I/O error on GET request for "http://config-server/discovery-server/default": config-server
01-07-2025 18:56:21.633 [main] [-] INFO  discovery-server-o.s.cloud.context.scope.GenericScope.setSerializationId - BeanFactory id=780c4741-b529-3d36-b784-098330e5c1d2
01-07-2025 18:56:21.687 [main] [-] WARN  discovery-server-o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
01-07-2025 18:56:21.689 [main] [-] WARN  discovery-server-o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
01-07-2025 18:56:21.962 [main] [-] INFO  discovery-server-o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8761 (http)
01-07-2025 18:56:21.973 [main] [-] INFO  discovery-server-o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8761"]
01-07-2025 18:56:21.977 [main] [-] INFO  discovery-server-o.a.catalina.core.StandardService.log - Starting service [Tomcat]
01-07-2025 18:56:21.978 [main] [-] INFO  discovery-server-o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.30]
